101.rle|rle|101|18|12|4b2o6b2o4b$3bobo6bobo3b$3bo10bo3b$2obo10bob2o$2obobo2b2o2bobob2o$3bobobo2bobobo3b$3bobobo2bobobo3b$2obobo2b2o2bobob2o$2obo10bob2o$3bo10bo3b$3bobo6bobo3b$4b2o6b2o!
104p177.rle|rle|104P177|46|46|16bo12bo16b$9b2o24b2o9b$8b3o3b2o14b2o3b3o8b$14b2ob2o8b2ob2o14b$16bo12bo16b4$2bo40bo2b$b2o40b2ob$b2o40b2ob4$2b2o38b2o2b$2b2o38b2o2b$o3bo36bo3bo$3bo38bo3b$3bo38bo3b9$3bo38bo3b$3bo38bo3b$o3bo36bo3bo$2b2o38b2o2b$2b2o38b2o2b4$b2o40b2ob$b2o40b2ob$2bo40bo2b4$16bo12bo16b$14b2ob2o8b2ob2o14b$8b3o3b2o14b2o3b3o8b$9b2o24b2o9b$16bo12bo!
104p25.rle|rle|104P25|38|23|9b2o4b2o3bo17b$9bobo2bobo3b3o15b$11bo2bo8bo14b$10bo4bo6b2o14b$10b2o2b2o22b$12b2o24b2$36b2o$2o24bo6b2o2bo$o2b2o19b2obo5bob2ob$b2obo19bo2bo4bo5b$5bo5b3o10b3o5bo5b$5bo4bo2bo19bob2ob$b2obo5bob2o19b2o2bo$o2b2o6bo24b2o$2o36b2$24b2o12b$22b2o2b2o10b$14b2o6bo4bo10b$14bo8bo2bo11b$15b3o3bobo2bobo9b$17bo3b2o4b2o!
105p25.rle|rle|105P25|34|23|9b2o4b2o17b$9bobo2bobo17b$11bo2bo19b$10bo4bo7bo6b2o2b$10b2o2b2o6bobob2o2bo3b$12b2o8bobobobobo3b$21b2obo3bob2o2b$19bo3b2obob2o3bo$2o20bo7bo3b$o2b2o17bo7bo3b$b2obo14bo3b2obob2o3bo$5bo5b3o7b2obo3bob2o2b$5bo4bo2bo8bobobobobo3b$b2obo5bob2o8bobob2o2bo3b$o2b2o6bo11bo6b2o2b$2o32b6$12b2o20b$12b2o!
10cellinfinitegrowth.rle|rle|10-cell infinite growth|8|6|6bob$4bob2o$4bobob$4bo3b$2bo5b$obo!
10enginecordership.rle|rle|10-engine Cordership|88|88|42bo45b$42bo45b$44bo5bo37b$43bo6bobo35b$42bo3bo2bo38b$43bo2bobob2o36b$48bob2o36b$62b2o24b$62b2o24b7$70b2o16b$26b2o2bo39b2o16b$29bobo56b$28bo59b2$30b2o56b2$31b2o55b$30bo47b2o8b$28b2ob2o45b2o8b$31b2o55b$16bo12bo58b$16bo22b3o46b$18bo5bo13bo49b$17bo6bobo10bo4b2o44b$16bo3bo2bo12bo3bo47b$17bo2bobob2o10bo2bo4bo41b2o$22bob2o10bo3bo3bo32bo8b2o$37b2obob3o31bobo9b$40bo47b$41b4o31bo2bo8b$30b3o10b2o33b2o8b$29bo3bo45bo8b$28bo4bo54b$27bo3bo56b$27bo2bob3o53b$27bo7bo52b$2o2bo24bo3bobo40b2o10b$3bobo23bo3bob2o41bo9b$2bo28b3ob2o39b2o10b2$4b2o82b2$5b2o81b$4bo83b$2b2ob2o52bobo6bobo17b$5b2o51bo9bobo17b$3bo55bo2bo6bo18b$61b3o24b5$51bo36b$50bobo35b2$50bo2bo34b$7b2o43b2o34b$7b2o44bo34b5$50b2o36b$52bo35b$15b2o33b2o36b$15b2o71b5$33bobo6bobo43b$32bo9bobo43b$23b2o8bo2bo6bo44b$23b2o10b3o50b7$31b2o55b$31b2o!
112p51.rle|rle|112P51|37|37|15b2o3b2o15b3$6b2o21b2o6b$6b2o21b2o6b2$3b2o27b2o3b$3b2o9b2o5b2o9b2o3b$9b3ob2o7b2ob3o9b$8bobo15bobo8b$8b2o17b2o8b$8bo19bo8b2$8bo19bo8b$7b2o19b2o7b$o6bo21bo6bo$o35bo4$o35bo$o6bo21bo6bo$7b2o19b2o7b$8bo19bo8b2$8bo19bo8b$8b2o17b2o8b$8bobo15bobo8b$9b3ob2o7b2ob3o9b$3b2o9b2o5b2o9b2o3b$3b2o27b2o3b2$6b2o21b2o6b$6b2o21b2o6b3$15b2o3b2o!
112p51extended.rle|rle|112P51 extended|64|64|15b2o3b2o42b3$6b2o21b2o33b$6b2o21b2o33b2$3b2o27b2o30b$3b2o9b2o5b2o9b2o30b$9b3ob2o7b2ob3o36b$8bobo15bobo35b$8b2o17b2o35b$8bo19bo35b2$8bo19bo35b$7b2o19b2o34b$o6bo21bo6bo27b$o35bo27b4$o35bo27b$o6bo21bo6bo27b$7b2o19b2o34b$8bo19bo35b2$8bo19bo10bo9bo14b$8b2o17b2o10b2o7b2o14b$8bobo15bobo8b5o5b5o12b$9b3ob2o7b2ob3o14bo3bo17b$3b2o9b2o5b2o9b2o7b3ob3o7b2o7b$3b2o27b2o2b2o3b2o3b2o3b2o2b2o7b$38bo2b3ob3o2bo13b$6b2o21b2o6b2o2bo5bo2b2o6b2o4b$6b2o21b2o8b2o7b2o8b2o4b$39b3o5b3o14b$40bo7bo15b$15b2o3b2o8bo8b2ob2ob2ob2o8bo5b$27bo2bobo6b2ob2ob2ob2o6bobo2bo2b$27bo3b2o8bo5bo8b2o3bo2b$25b3o5b2ob2o13b2ob2o5b3o$26b2o5b5o13b5o5b2ob$27bob4obo3bo11bo3bob4obo2b$28b4o4b2o13b2o4b4o3b$29bobo4b2o13b2o4bobo4b2$29bobo4b2o13b2o4bobo4b$28b4o4b2o13b2o4b4o3b$27bob4obo3bo11bo3bob4obo2b$26b2o5b5o13b5o5b2ob$25b3o5b2ob2o13b2ob2o5b3o$27bo3b2o8bo5bo8b2o3bo2b$27bo2bobo6b2ob2ob2ob2o6bobo2bo2b$30bo8b2ob2ob2ob2o8bo5b$40bo7bo15b$39b3o5b3o14b$29b2o8b2o7b2o8b2o4b$29b2o6b2o2bo5bo2b2o6b2o4b$38bo2b3ob3o2bo13b$32b2o2b2o3b2o3b2o3b2o2b2o7b$32b2o7b3ob3o7b2o7b$42bo3bo17b$37b5o5b5o12b$39b2o7b2o14b$39bo9bo!
114p6h1v0.rle|rle|114P6H1V0|16|32|4bo6bo4b$3bobob2obobo3b$3b2o2b2o2b2o3b$7b2o7b2$5b2o2b2o5b$5b2o2b2o5b$6b4o6b$6bo2bo6b$5bo4bo5b$5bo4bo5b$5bob2obo5b$6bo2bo6b$6bo2bo6b2$o14bo$2o4bo2bo4b2o$o5b4o5bo$b2o4b2o4b2ob$2bo10bo2b$obo10bobo$b5o4b5ob$3bo2b4o2bo3b$2bo4b2o4bo2b$6bo2bo6b$7b2o7b$4b2ob2ob2o4b2$3bo8bo3b$2b3o6b3o2b$2bo2bo4bo2bo2b$b2o10b2o!
114p6h1v0pushalong.rle|rle|114P6H1V0 pushalong|30|43|5b3o14b3o5b$3obo20bob3o$4bo3bo12bo3bo4b$4bo4bo10bo4bo4b$10bo8bo10b$6bo7b2o7bo6b$7b2ob2ob4ob2ob2o7b$11bobo2bobo11b4$11bo6bo11b$10bobob2obobo10b$10b2o2b2o2b2o10b$14b2o14b2$12b2o2b2o12b$12b2o2b2o12b$13b4o13b$13bo2bo13b$12bo4bo12b$12bo4bo12b$12bob2obo12b$13bo2bo13b$13bo2bo13b2$7bo14bo7b$7b2o4bo2bo4b2o7b$7bo5b4o5bo7b$8b2o4b2o4b2o8b$9bo10bo9b$7bobo10bobo7b$8b5o4b5o8b$10bo2b4o2bo10b$9bo4b2o4bo9b$13bo2bo13b$14b2o14b$11b2ob2ob2o11b2$10bo8bo10b$9b3o6b3o9b$9bo2bo4bo2bo9b$8b2o10b2o!
